sr_no,date,startup,industry,sub_vertical,city,investors,investment_type,amount_usd,amount_inr_crore,year,month
2356,2015-10-23,Leaping Caravan,Online food ordering & Delivery service,Other,Gurugram,Group Of 15 Angel Investors,Seed Funding,150000.0,1.26,2015,October
2357,2015-10-23,Frsh,Online food ordering & Delivery service,Other,Gurugram,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,1000000.0,8.4,2015,October
2358,2015-10-23,Qik Stay,Hotel Aggregator & booking platform,Other,New Delhi,Id Enablers Pvt Ltd,Seed Funding,250000.0,2.1,2015,October
2359,2015-10-26,Parcelled,Online Logistics Platform,Other,Bengaluru,Delhivery,Private Equity,5000000.0,42.0,2015,October
2360,2015-10-26,AlmaMapper,Online Student & Campus Social Networking platform,Other,Ahmedabad,Oswal Techno Ventures Llp,Seed Funding,400000.0,3.36,2015,October
2361,2015-10-26,Flexing It,Professionals & Project Search Marketplace,Other,New Delhi,Undisclosed Private Investors,Seed Funding,500000.0,4.2,2015,October
2362,2015-10-26,Netmeds.com,Online Pharmacy,Other,Chennai,"Orbimed, Pradip Dadha Group",Private Equity,50000000.0,420.0,2015,October
2363,2015-10-26,Razorpay,Online Payment Gateway,Other,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,9000000.0,75.6,2015,October
2364,2015-10-27,Jombay,Psychometric Test Online Software,Other,Pune,Ventureworks India,Private Equity,0.0,0.0,2015,October
2365,2015-10-27,Happitoo,Location based Nightlife recommendation\\xc2\\xa0 Platform,Other,Mumbai,Unnamed Investor,Seed Funding,77000.0,0.65,2015,October
2366,2015-10-27,Care24,Professional Health Services Platform,Other,Mumbai,India Quotient,Seed Funding,350000.0,2.94,2015,October
2367,2015-10-27,Roadrunnr,Hyperlocal Logistics Service,Other,Bengaluru,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000.0,84.0,2015,October
2368,2015-10-27,Simpli5d,Online user engagement platform,Other,Gurugram,"Redcliffe Capital, Yournest Angel Fund",Private Equity,0.0,0.0,2015,October
2369,2015-10-28,ORIGA Leasing,Asset Financing platform,Other,Mumbai,"Ah! Ventures, 500 Startups & Other Hnis",Seed Funding,1100000.0,9.24,2015,October
2370,2015-10-28,Smartivity.in,Virtual Reality activity based learning platform,Other,New Delhi,S Chand And Co Pvt Ltd,Seed Funding,200000.0,1.68,2015,October
2371,2015-10-28,UrDoorStep,Online Grocery Store,Other,Bengaluru,Jupiter Capital,Private Equity,0.0,0.0,2015,October
2372,2015-10-29,Tavaga,Investment management platform,Other,Mumbai,Tracxn Syndicate,Seed Funding,0.0,0.0,2015,October
2373,2015-10-29,Moglix,Industrial Toons Marketplace,Other,Noida,"Accel Partner, Jungle Ventures",Private Equity,0.0,0.0,2015,October
2374,2015-10-29,ZopHop,Public Commute helper App,Other,Mumbai,"Amit Singhal, Pk Gulati & Others",Seed Funding,450000.0,3.78,2015,October
2375,2015-10-30,Niki.ai,Artificial Intelligence Ecommerce Chatbot,Other,Bengaluru,Unilazer Ventures,Seed Funding,0.0,0.0,2015,October
2376,2015-10-30,Instavans,Truck Aggregator & Logistics service,Other,Bengaluru,Suresh Vaswani,Seed Funding,0.0,0.0,2015,October
2377,2015-10-30,LiftO,Ridesharing Mobile app,Other,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,130000.0,1.09,2015,October
2378,2015-10-30,TinyOwl,Food Discovery & Delivery Mobile app,Other,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,7500000.0,63.0,2015,October
2379,2015-10-30,Toppr.com,Competitive exam learning platform,Other,Mumbai,Innoven Capital,Private Equity,2000000.0,16.8,2015,October
2380,2015-10-30,Kleeto,Document Digitization platform,Other,Gurugram,Grex,Seed Funding,230000.0,1.93,2015,October
